name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Tyreek Hill,KC,WR,11,12.7,4,4.0,2,1,29,16,30,27.,130.3,10.9,12,39.85,89,58,860,7,8,23,0
Deebo Samuel,SF,WR,95,100.5,41,43.6,8,6,6,10,8,28.,130.1,8.7,15,280.82,81,57,802,3,14,159,3
Davante Adams,GB,WR,7,9.2,2,2.2,2,1,15,17,16,29.,127.7,10.6,12,25.79,127,83,997,5,0,0,0
DK Metcalf,SEA,WR,52,51.5,24,23.5,5,4,3,8,3,30.,127.1,7.9,16,152.71,100,58,900,7,2,11,0
Odell Beckham,CLE,WR,31,32.7,13,13.8,4,3,24,29,12,31.,126.5,7.9,16,98.32,133,74,"1,035",4,3,10,0
Darius Slayton,NYG,WR,104,110.6,46,46.7,8,6,8,15,2,32.,122.0,8.7,14,307.13,84,48,740,8,0,0,0
Jamison Crowder,NYJ,WR,85,86.8,37,38.3,7,5,25,26,20,33.,119.7,7.5,16,252.08,122,78,833,6,1,4,0
Curtis Samuel,CAR,WR,145,148.6,61,58.2,9,7,4,2,14,34.,117.7,7.4,16,408.31,105,54,627,6,19,130,1
Emmanuel Sanders,NO,WR,103,108.3,45,46.2,8,6,7,6,18,35.,116.9,6.9,17,302.34,97,66,869,5,0,0,0
Cole Beasley,BUF,WR,190,196.7,74,72.4,10,7,22,11,31,36.,113.8,7.6,15,527.82,106,67,778,6,0,0,0
Mike Williams,LAC,WR,123,126.3,51,51.3,8,6,18,20,15,37.,112.3,7.5,15,351.6,90,49,"1,001",2,1,2,0
Robby Anderson,CAR,WR,144,147.5,59,58.1,9,7,4,2,14,38.,108.3,6.8,16,404.32,96,52,779,5,1,4,0
Chris Conley,JAC,WR,237,233.7,85,85.9,11,8,10,9,22,39.,107.5,6.7,16,629.94,90,47,775,5,0,0,0
